                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0149,                 2.3472,                 4.6555,                  1.139,                0.01906,                0.18108,                0.02409,                0.01779,                 0.0179,                0.18151,                0.02143,                0.01754,                0.93582,                 1.9896,                 4.5858,                 1.1094,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                0.94448,                 2.1438,                 4.2829,                 1.1317,                0.15587,                0.20224,                0.08359,                  0.068,                0.15457,                0.19999,                0.08332,                0.06316,                0.68519,                 1.4211,                 3.5415,                0.93839,              3.222e-05,              3.222e-05,              3.222e-05
                      3,                0.77541,                 1.5397,                 3.4281,                0.98894,                0.20527,                0.37796,                0.19559,                 0.1699,                0.22925,                0.37839,                0.19521,                 0.1602,                0.61762,                 1.2371,                 3.1785,                0.90969,             4.8904e-05,             4.8904e-05,             4.8904e-05
                      4,                0.70238,                  1.332,                 2.7025,                0.94819,                0.54866,                 0.4019,                0.38321,                0.33809,                 0.5473,                0.39974,                0.38165,                0.31402,                0.58011,                 1.1082,                 3.1932,                 0.9086,             6.4331e-05,             6.4331e-05,             6.4331e-05
                      5,                0.64273,                 1.2348,                 1.8614,                0.91662,                0.59052,                0.48148,                0.54776,                0.47792,                0.59037,                0.47858,                0.54675,                0.45179,                0.56654,                0.97837,                 3.4097,                0.88889,             7.8502e-05,             7.8502e-05,             7.8502e-05
                      6,                0.63654,                 1.0644,                 1.5079,                0.88768,                0.58336,                0.58991,                0.63436,                 0.5491,                0.58787,                0.58502,                0.63262,                0.52537,                0.55427,                 0.8986,                 3.0434,                0.88084,             9.1416e-05,             9.1416e-05,             9.1416e-05
                      7,                0.58558,                0.97736,                 1.3098,                0.89221,                 0.7143,                 0.7401,                0.83453,                 0.7422,                0.71428,                0.74097,                0.83319,                0.69832,                0.50832,                 0.7877,                 1.9385,                0.86394,             0.00010307,             0.00010307,             0.00010307
                      8,                0.53598,                0.89179,                 1.1146,                0.88087,                0.76275,                  0.731,                0.86254,                0.77736,                0.76369,                0.73718,                0.86035,                0.71439,                 0.4701,                 0.7909,                 1.8992,                0.84962,             0.00011347,             0.00011347,             0.00011347
                      9,                0.59224,                0.99449,                  1.076,                0.89093,                0.82467,                0.75068,                 0.8828,                0.80882,                0.82467,                0.75068,                0.87263,                0.72296,                0.45023,                0.80324,                 1.6495,                0.83824,             0.00012262,             0.00012262,             0.00012262
                     10,                 0.5043,                0.86108,                0.90332,                0.86446,                0.84882,                0.81072,                0.91187,                0.83955,                0.83325,                 0.8101,                0.90184,                0.75976,                 0.4305,                0.69872,                 1.3505,                0.83076,              0.0001305,              0.0001305,              0.0001305
                     11,                0.53229,                0.85591,                0.79924,                0.84957,                0.85435,                 0.8601,                0.92985,                0.86116,                 0.8435,                0.87086,                0.93203,                0.79503,                0.41517,                0.65592,                 1.0386,                0.82644,             0.00013714,             0.00013714,             0.00013714
                     12,                0.48566,                0.74139,                0.81268,                0.85085,                 0.8606,                0.89755,                0.94138,                0.88052,                0.86318,                  0.905,                0.94551,                0.81088,                 0.4119,                 0.6409,                0.79422,                0.82462,             0.00014251,             0.00014251,             0.00014251
                     13,                0.52103,                 0.8261,                0.81104,                0.85746,                0.89517,                0.84556,                0.94122,                0.87845,                0.89589,                0.85221,                0.94436,                0.80569,                0.39092,                0.60579,                0.69522,                 0.8184,             0.00014663,             0.00014663,             0.00014663
                     14,                0.49712,                0.75572,                0.77808,                0.84538,                0.88801,                0.90557,                0.95746,                0.90213,                0.90709,                0.89747,                0.95516,                0.80941,                0.37285,                0.59934,                0.61736,                0.81433,             0.00014949,             0.00014949,             0.00014949
                     15,                0.47408,                0.76445,                0.73152,                0.84014,                0.91174,                0.92455,                0.97568,                0.91829,                0.91479,                0.92716,                0.97431,                0.84409,                0.36223,                0.56053,                 0.5874,                 0.8116,             0.00015109,             0.00015109,             0.00015109
                     16,                 0.4488,                0.67969,                0.65438,                0.83507,                0.91174,                0.92455,                0.97568,                0.91829,                0.91479,                0.92716,                0.97431,                0.84409,                0.36223,                0.56053,                 0.5874,                 0.8116,             0.00015144,             0.00015144,             0.00015144
                     17,                0.46165,                0.67092,                0.64325,                0.82617,                0.93526,                0.91725,                0.98128,                0.92157,                0.93872,                0.92126,                0.98478,                0.86151,                0.37311,                0.55594,                0.55788,                0.81102,             0.00015053,             0.00015053,             0.00015053
                     18,                0.45032,                0.64383,                 0.6137,                0.83283,                0.92928,                0.94659,                0.98427,                0.92637,                0.92882,                0.94705,                0.98761,                0.86928,                0.37399,                0.54858,                0.50062,                0.81082,             0.00014836,             0.00014836,             0.00014836
                     19,                0.44157,                0.67009,                0.61037,                0.82006,                0.92928,                0.94659,                0.98427,                0.92637,                0.92882,                0.94705,                0.98761,                0.86928,                0.37399,                0.54858,                0.50062,                0.81082,             0.00014494,             0.00014494,             0.00014494
                     20,                0.47282,                0.66198,                0.62411,                0.82339,                0.95858,                0.95747,                0.98837,                0.93287,                0.95834,                0.95867,                0.99158,                0.86757,                0.36133,                 0.5293,                0.46937,                0.80899,             0.00014026,             0.00014026,             0.00014026
                     21,                0.43615,                0.63768,                0.63203,                0.81438,                0.96929,                0.97479,                0.99054,                0.92843,                0.96836,                0.97562,                0.99366,                0.84191,                0.36198,                0.53514,                0.45234,                0.80777,             0.00013433,             0.00013433,             0.00013433
                     22,                 0.4026,                0.58108,                0.58084,                0.82486,                0.96929,                0.97479,                0.99054,                0.92843,                0.96836,                0.97562,                0.99366,                0.84191,                0.36198,                0.53514,                0.45234,                0.80777,             0.00012713,             0.00012713,             0.00012713
                     23,                0.42688,                0.62405,                0.59468,                0.81596,                0.97299,                0.97431,                   0.99,                0.92984,                0.97244,                0.97485,                0.99322,                0.83904,                0.36093,                0.54245,                0.44799,                0.80654,             0.00011869,             0.00011869,             0.00011869
                     24,                0.40595,                0.57257,                0.55143,                0.80999,                0.97299,                0.97431,                   0.99,                0.92984,                0.97244,                0.97485,                0.99322,                0.83904,                0.36093,                0.54245,                0.44799,                0.80654,             0.00010898,             0.00010898,             0.00010898
                     25,                0.39306,                0.56423,                0.54752,                0.81382,                0.97831,                0.97699,                0.99067,                0.94448,                0.97757,                0.97757,                0.99348,                0.84658,                0.34421,                0.53716,                0.42967,                0.80447,             9.8018e-05,             9.8018e-05,             9.8018e-05
                     26,                0.39155,                0.60579,                0.54236,                0.80004,                0.97831,                0.97699,                0.99067,                0.94448,                0.97757,                0.97757,                0.99348,                0.84658,                0.34421,                0.53716,                0.42967,                0.80447,               8.33e-05,               8.33e-05,               8.33e-05
                     27,                0.43237,                0.63809,                0.57215,                0.80947,                0.97916,                0.97244,                0.99083,                 0.9488,                0.97905,                0.97254,                0.99359,                0.85052,                0.33466,                 0.5309,                0.41045,                0.80228,             6.7592e-05,             6.7592e-05,             6.7592e-05
                     28,                0.38823,                0.61093,                0.52942,                0.80264,                0.97916,                0.97244,                0.99083,                 0.9488,                0.97905,                0.97254,                0.99359,                0.85052,                0.33466,                 0.5309,                0.41045,                0.80228,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     29,                0.36493,                0.57201,                0.51714,                0.78915,                0.98558,                0.97076,                0.99077,                 0.9491,                0.98544,                0.97086,                0.99381,                0.85283,                0.33301,                0.53165,                0.40203,                0.80223,             3.6176e-05,             3.6176e-05,             3.6176e-05
                     30,                0.39812,                0.62314,                0.49856,                0.80187,                0.98558,                0.97076,                0.99077,                 0.9491,                0.98544,                0.97086,                0.99381,                0.85283,                0.33301,                0.53165,                0.40203,                0.80223,             2.0468e-05,             2.0468e-05,             2.0468e-05
